report,5_similares,10_similares
822,"[169.0, 162.0, 377.0, 106.0, 79.0]","[169.0, 162.0, 377.0, 106.0, 79.0, 412.0, 348.0, 275.0, 490.0, 229.0]"
830,"[341.0, 145.0, 448.0, 411.0, 282.0]","[341.0, 145.0, 448.0, 411.0, 282.0, 531.0, 195.0, 400.0, 230.0, 37.0]"
832,"[242.0, 88.0, 29.0, 483.0, 284.0]","[242.0, 88.0, 29.0, 483.0, 284.0, 90.0, 280.0, 450.0, 100.0, 260.0]"
834,"[527.0, 427.0, 162.0, 398.0, 434.0]","[527.0, 427.0, 162.0, 398.0, 434.0, 79.0, 299.0, 97.0, 95.0, 142.0]"
836,"[456.0, 205.0, 284.0, 389.0, 406.0]","[456.0, 205.0, 284.0, 389.0, 406.0, 182.0, 440.0, 29.0, 373.0, 20.0]"
839,"[257.0, 256.0, 22.0, 61.0, 411.0]","[257.0, 256.0, 22.0, 61.0, 411.0, 32.0, 453.0, 357.0, 203.0, 66.0]"
847,"[433.0, 317.0, 253.0, 164.0, 430.0]","[433.0, 317.0, 253.0, 164.0, 430.0, 120.0, 496.0, 73.0, 172.0, 148.0]"
848,"[450.0, 239.0, 26.0, 127.0, 229.0]","[450.0, 239.0, 26.0, 127.0, 229.0, 131.0, 308.0, 100.0, 34.0, 348.0]"
851,"[225.0, 277.0, 149.0, 45.0, 189.0]","[225.0, 277.0, 149.0, 45.0, 189.0, 336.0, 315.0, 187.0, 458.0, 306.0]"
853,"[307.0, 280.0, 100.0, 299.0, 462.0]","[307.0, 280.0, 100.0, 299.0, 462.0, 90.0, 97.0, 304.0, 535.0, 450.0]"
864,"[282.0, 464.0, 145.0, 62.0, 411.0]","[282.0, 464.0, 145.0, 62.0, 411.0, 171.0, 230.0, 404.0, 195.0, 477.0]"
865,"[406.0, 205.0, 440.0, 456.0, 284.0]","[406.0, 205.0, 440.0, 456.0, 284.0, 182.0, 29.0, 373.0, 389.0, 172.0]"
867,"[464.0, 145.0, 37.0, 168.0, 254.0]","[464.0, 145.0, 37.0, 168.0, 254.0, 282.0, 477.0, 141.0, 348.0, 195.0]"
871,"[398.0, 527.0, 434.0, 97.0, 299.0]","[398.0, 527.0, 434.0, 97.0, 299.0, 348.0, 412.0, 321.0, 79.0, 95.0]"
873,"[441.0, 448.0, 321.0, 348.0, 308.0]","[441.0, 448.0, 321.0, 348.0, 308.0, 239.0, 215.0, 493.0, 451.0, 531.0]"
874,"[279.0, 405.0, 301.0, 537.0, 408.0]","[279.0, 405.0, 301.0, 537.0, 408.0, 403.0, 283.0, 412.0, 99.0, 174.0]"
875,"[399.0, 514.0, 151.0, 141.0, 194.0]","[399.0, 514.0, 151.0, 141.0, 194.0, 145.0, 168.0, 531.0, 254.0, 451.0]"
877,"[73.0, 314.0, 433.0, 430.0, 84.0]","[73.0, 314.0, 433.0, 430.0, 84.0, 12.0, 164.0, 253.0, 167.0, 496.0]"
880,"[464.0, 145.0, 282.0, 62.0, 195.0]","[464.0, 145.0, 282.0, 62.0, 195.0, 124.0, 230.0, 37.0, 171.0, 477.0]"
881,"[400.0, 360.0, 141.0, 168.0, 3.0]","[400.0, 360.0, 141.0, 168.0, 3.0, 106.0, 145.0, 514.0, 341.0, 282.0]"
885,"[317.0, 253.0, 164.0, 433.0, 12.0]","[317.0, 253.0, 164.0, 433.0, 12.0, 496.0, 342.0, 430.0, 177.0, 390.0]"
886,"[132.0, 174.0, 429.0, 162.0, 79.0]","[132.0, 174.0, 429.0, 162.0, 79.0, 99.0, 100.0, 139.0, 95.0, 471.0]"
893,"[427.0, 527.0, 299.0, 398.0, 307.0]","[427.0, 527.0, 299.0, 398.0, 307.0, 97.0, 280.0, 142.0, 242.0, 139.0]"
896,"[151.0, 348.0, 37.0, 124.0, 194.0]","[151.0, 348.0, 37.0, 124.0, 194.0, 423.0, 141.0, 168.0, 464.0, 360.0]"
900,"[239.0, 131.0, 127.0, 100.0, 450.0]","[239.0, 131.0, 127.0, 100.0, 450.0, 215.0, 411.0, 531.0, 448.0, 341.0]"
